#{"t_start": 1736966677.3145978, "env_id": "None"}
r,l,t
22.036334,153,707.882486
27.301655,222,709.49827
24.975436,188,711.095918
26.027629,192,712.70276
21.936994,154,714.263148
17.596272,270,716.826387
26.700107,200,718.388302
26.843188,229,720.006853
25.068518,187,721.593183
22.439916,172,723.165593
15.985422,258,724.836001
23.715189,189,726.428655
26.844135,228,728.050039
25.968869,199,729.63901
24.453909,176,731.215911
21.032367,146,733.654869
26.839892,194,735.262094
26.992087,200,736.858842
27.018802,210,738.449372
18.831793,237,740.093717
28.234281,252,741.72355
19.436023,130,743.255981
22.577481,185,744.83617
25.594321,208,746.429448
24.633765,171,748.014286
23.00896,168,749.594072
18.235189,242,752.125382
23.710512,167,753.674623
24.286441,185,755.267185
19.240532,143,756.819499
19.259151,140,758.330968
21.799406,191,759.902022
19.371097,135,761.425323
19.707931,132,762.940396
24.520333,180,764.521496
18.196028,239,766.171445
24.80851,185,767.740217
26.989822,228,770.224349
27.001344,227,771.801717
16.486011,325,773.536275
17.009747,320,775.239037
17.993797,115,776.759107
18.278277,235,778.357935
21.679095,200,779.956809
22.414442,188,781.530433
17.7418,245,783.16526
22.393356,169,785.596944
22.897394,157,787.147347
16.481184,313,788.87121
15.590724,279,790.549877
17.033952,256,792.225637
18.175216,122,793.733842
20.343034,134,795.274753
16.557266,281,796.954941
28.692657,212,798.555138
23.293782,162,800.107101
23.007134,166,802.60199
25.017964,191,804.167122
19.964594,137,805.696047
18.968601,127,807.236979
18.863991,241,808.879203
16.856575,335,810.624953
23.961591,197,812.23031
18.247593,268,813.912466
19.003382,124,815.448512
17.170644,331,817.188868
23.684732,169,819.64109
24.104343,175,821.21009
22.0343,156,822.763793
21.487386,161,824.33567
24.738246,179,825.908157
22.275114,163,827.437839
25.999867,223,829.030442
22.869582,180,830.619931
25.946399,209,832.242877
25.096591,208,833.834528
17.009227,364,836.494647
25.054913,189,838.047191
18.996775,121,839.580472
26.019785,214,841.206486
18.029358,115,842.709002
22.893186,162,844.248999
20.939753,145,845.802233
23.992176,182,847.388662
18.169658,117,848.895324
21.898596,149,850.456977
17.967823,116,851.98789
21.967052,154,853.532201
23.996251,185,855.112042
20.386995,163,857.569926
23.817374,182,859.153895
17.517112,278,860.810068
25.485079,191,862.391673
25.990556,214,863.979926
22.023456,151,865.522837
17.849477,277,867.199717
26.208017,194,868.786922
24.986607,190,870.380182
22.553855,173,871.955861
21.100146,141,874.383319
20.155649,137,875.913134
29.062832,228,877.555527
26.069134,197,879.153642
26.85482,217,880.754383
17.992493,118,882.227089
23.199975,183,883.809392
20.918696,143,885.331817
18.804583,129,886.852776
20.164885,151,888.393713
24.47832,177,889.963613
26.981256,222,891.5973
26.255395,197,894.134923
25.259817,194,895.702108
23.987013,176,897.281176
23.178995,175,898.869255
27.082598,217,900.493297
23.262993,165,902.053996
18.944801,122,903.580652
26.447907,201,905.171101
21.47279,156,906.732284
19.751103,136,908.261293
25.970625,198,909.873122
24.793143,176,911.432235
23.822302,182,913.88114
20.643898,136,915.359248
20.940572,143,916.901209
20.388597,163,918.432081
21.109218,144,919.965823
17.934101,114,921.490183
18.144777,117,923.007542
17.259074,256,924.641084
26.20933,200,926.221441
18.518212,294,927.900817
22.114476,152,929.456618
27.334182,203,931.968524
16.72507,643,934.002479
28.252432,212,935.600302
22.034643,159,937.145991
18.288153,266,938.812637
26.058433,198,940.42248
21.568894,154,941.939319
28.288764,251,943.586204
24.222072,172,946.030363
22.576493,168,947.571569
23.861276,189,949.157995
26.064363,214,950.753631
21.025666,173,952.333282
21.135917,150,953.874053
23.997088,178,955.451558
25.523533,188,957.04628
21.721853,195,958.662369
25.634012,215,960.286276
21.012473,147,961.843127
23.76074,192,963.430966
25.691216,182,965.903351
27.430275,233,967.498995
19.99758,140,969.028484
24.244562,194,970.643909
20.393049,158,972.21705
27.351117,243,973.868713
20.160307,139,975.411688
22.589893,184,977.004133
18.975346,124,978.513164
23.993498,173,980.095791
26.380682,192,981.682283
21.722812,155,984.180896
25.986296,187,985.743104
15.347,222,987.342937
17.973905,115,988.856838
14.126152,269,990.530188
25.99821,187,992.126538
22.010564,166,993.690322
17.951719,115,995.208085
26.211862,198,996.787719
18.297658,318,998.489518
26.077757,210,1000.079964
20.390692,138,1002.481061
21.3404,146,1004.019399
25.554034,188,1005.612505
26.250956,202,1007.205264
14.353621,248,1008.854537
25.718707,201,1010.465911
24.968209,190,1012.059695
26.047815,188,1013.62747
16.767614,291,1015.325335
24.028473,175,1016.86757
26.419377,209,1019.343347
17.62925,273,1020.961846
22.369663,153,1022.50995
21.418498,150,1024.08002
23.472155,165,1025.656237
22.858669,160,1027.217864
26.213002,194,1028.816127
22.018325,159,1030.381905
24.219801,170,1031.922431
25.640382,190,1033.492713
21.956379,161,1035.034721
21.702284,191,1037.509647
23.957094,175,1039.046809
24.195038,185,1040.607385
21.937277,156,1042.170663
21.916077,152,1043.722656
22.879567,173,1045.276544
20.584223,139,1046.815122
19.726677,129,1048.35153
24.760551,195,1049.951814
24.556295,173,1051.527506
21.022129,143,1053.084004
26.209191,191,1054.685477
21.064603,154,1056.228787
26.050911,195,1058.69227
20.952531,147,1060.217387
21.016201,166,1061.787624
24.633191,201,1063.390286
24.090534,169,1064.95298
21.203167,166,1066.521263
25.10654,182,1068.103961
22.274265,157,1069.629531
19.73758,130,1071.168558
23.554121,185,1072.722135
19.721415,131,1074.257094
26.456894,217,1075.863769
18.144511,115,1078.313527
22.00519,169,1079.875289
26.996402,199,1081.430215
23.381683,177,1082.994715
24.781841,177,1084.564077
28.310559,225,1086.203253
24.252556,183,1087.770347
23.699584,168,1089.340254
24.262696,192,1090.935351
28.196593,209,1092.544706
21.986197,150,1094.102348
26.410035,204,1096.593959
21.190462,149,1098.135843
25.129025,179,1099.702936
19.79234,134,1101.239812
24.240252,174,1102.814693
20.114154,133,1104.357737
27.02379,213,1105.949381
25.116234,194,1107.558846
23.295225,180,1109.136629
26.027658,196,1110.716712
28.305438,232,1112.336704
19.745178,128,1113.868658
22.544303,154,1116.307952
26.101609,192,1117.857116
22.319573,151,1119.38748
21.076151,154,1120.945997
19.711383,137,1122.493279
27.628175,219,1124.124783
26.215403,194,1125.698472
18.856078,238,1127.344675
22.853311,174,1128.912394
19.977421,131,1130.419782
27.670908,217,1132.039425
27.919381,206,1134.48528
25.210246,181,1136.035446
21.496231,146,1137.569869
22.94411,160,1139.129557
18.152156,114,1140.654606
18.166889,119,1142.15599
27.589139,203,1143.73593
25.983035,208,1145.327907
19.293025,136,1146.872824
18.832311,130,1148.400514
20.648864,149,1149.953387
24.94161,184,1151.534818
24.97931,193,1153.128156
24.794645,173,1155.607598
27.932217,212,1157.154104
22.367572,154,1158.683441
24.482082,177,1160.261201
25.461313,180,1161.853227
24.755785,177,1163.415123
27.356946,209,1165.029943
18.893835,240,1166.682295
19.798721,140,1168.21077
28.149584,204,1169.827247
19.347005,126,1171.331965
27.09361,208,1173.786146
27.307343,196,1175.349312
22.51457,153,1176.903475
28.660273,223,1178.520412
26.092399,197,1180.117675
12.931878,188,1181.692807
26.007105,194,1183.280923
28.271123,206,1184.888249
25.485214,186,1186.470553
24.423038,173,1188.044377
22.880414,156,1189.605032
26.884656,190,1192.022308
21.717916,180,1193.570081
25.604747,198,1195.152489
24.971571,177,1196.71768
20.660177,138,1198.261807
28.225142,218,1199.895738
25.021053,177,1201.477637
23.501898,163,1203.033492
21.08629,142,1204.581321
25.62273,199,1206.188987
26.45569,204,1207.770042
19.746021,138,1209.294046
19.433082,140,1211.707217
20.985344,143,1213.215626
21.130727,144,1214.765428
19.752927,131,1216.304804
25.057861,177,1217.881249
18.970792,126,1219.415747
27.761157,202,1221.006892
22.320481,161,1222.560476
24.012561,172,1224.138751
25.126718,176,1225.69912
24.241381,181,1227.270293
26.996636,206,1228.877055
25.10402,176,1231.361392
24.13754,169,1232.925792
25.087054,181,1234.512938
22.593184,160,1236.078916
18.124992,316,1237.792976
22.276651,150,1239.334335
19.140595,124,1240.843464
18.848288,125,1242.365418
25.089325,178,1243.934559
23.255495,164,1245.49535
20.15222,137,1247.040947
18.154586,119,1248.542171
23.401491,174,1251.048825
26.460721,201,1252.619282
23.205747,186,1254.172095
26.46249,193,1255.727128
19.155616,132,1257.251354
26.010707,193,1258.825522
27.67627,221,1260.439929
24.020869,170,1261.988754
26.70476,203,1263.586684
18.955225,125,1265.112811
27.240469,204,1266.729033
15.032925,217,1269.244694
18.841776,125,1270.748106
22.02098,150,1272.305147
27.926299,212,1273.899127
24.203658,180,1275.482231
28.214693,207,1277.102498
23.694563,163,1278.669183
25.521253,189,1280.240735
19.366633,132,1281.770414
26.886971,194,1283.363706
28.190885,206,1284.976676
21.072676,149,1286.538239
25.951827,193,1288.993493
27.025255,209,1290.558602
26.087433,187,1292.15462
22.339411,160,1293.714498
26.693704,192,1295.308588
23.965551,177,1296.899055
24.734578,173,1298.48694
25.403341,180,1300.052588
28.134445,205,1301.658519
23.249155,161,1303.215835
18.753447,121,1304.727001
21.709173,162,1306.299185
26.029272,200,1308.798304
27.393623,206,1310.409714
19.695812,131,1311.952763
24.154971,177,1313.534604
23.025,163,1315.108383
22.873073,155,1316.655149
20.156329,139,1318.210126
27.313477,210,1319.823067
27.724529,207,1321.428812
19.774852,134,1322.971139
25.461804,182,1324.5499
23.234693,159,1326.114655
25.27789,180,1328.612006
24.160398,169,1330.182066
29.076761,215,1331.769152
26.874148,195,1333.365791
24.202222,179,1334.948331
20.604016,140,1336.497614
27.725258,211,1338.109795
23.285574,159,1339.67244
26.647777,192,1341.262906
22.960767,158,1342.811087
26.025636,195,1344.4138
19.122869,125,1346.789788
25.254382,186,1348.339103
26.981173,200,1349.847524
19.871061,270,1351.532566
27.304978,199,1353.136061
23.988081,169,1354.705643
19.701289,130,1356.218408
24.175866,172,1357.791365
26.019049,192,1359.39861
21.272803,141,1360.956356
25.19638,181,1362.516538
24.075601,169,1364.056087
27.012087,198,1366.562403
28.643464,216,1368.16562
18.471746,120,1369.692045
24.247691,184,1371.278886
25.985401,188,1372.860061
26.066561,189,1374.46047
24.037892,171,1376.041284
26.657017,194,1377.646623
26.703617,193,1379.248612
18.039855,111,1380.766243
19.115868,262,1382.441243
21.152333,154,1384.917409
26.977959,199,1386.500035
18.970625,121,1388.02693
25.140734,183,1389.614978
22.811261,159,1391.180443
23.123851,161,1392.74762
22.38926,153,1394.297062
24.211362,179,1395.865304
24.64609,179,1397.450845
23.274694,158,1399.008899
18.827708,124,1400.529713
25.136042,184,1402.102959
27.364699,201,1404.618686
27.434914,203,1406.187585
26.441649,194,1407.781122
19.766652,126,1409.298042
26.199473,190,1410.875867
24.288364,172,1412.442205
24.187407,173,1414.026693
20.398583,146,1415.593758
23.249602,161,1417.162142
20.312939,135,1418.707833
25.607569,181,1420.283592
21.16155,142,1421.830279
25.953751,185,1424.325292
21.076824,141,1425.842628
23.941032,169,1427.430895
19.421534,128,1428.96743
26.981785,203,1430.546991
23.861619,165,1432.084279
21.102195,146,1433.631072
20.953479,139,1435.177252
19.786687,130,1436.717805
18.17268,116,1438.237736
19.763284,137,1439.787573
21.319147,143,1441.314739
21.00952,146,1442.867261
21.113927,141,1444.393566
21.591278,152,1446.832374
21.173776,154,1448.37472
23.306486,164,1449.948936
23.985112,167,1451.51029
26.403722,195,1453.114962
17.991817,114,1454.637258
23.161975,178,1456.213957
25.232518,182,1457.802269
19.103433,121,1459.308171
21.318139,150,1460.854131
22.325851,152,1462.408475
28.267635,203,1464.003058
22.983245,159,1465.545723
20.97522,147,1467.979831
22.145139,150,1469.522657
23.546078,163,1471.065661
23.967121,167,1472.637518
18.026741,116,1474.136854
26.941653,197,1475.735246
23.263118,161,1477.302262
27.313976,208,1478.913584
18.461007,124,1480.450713
20.648721,136,1481.991884
28.260284,211,1483.598887
25.985927,186,1485.201099
24.009314,169,1487.638276
26.950171,199,1489.218604
22.106468,151,1490.767537
27.334836,195,1492.355301
25.973485,189,1493.907179
20.656023,136,1495.464965
22.44364,168,1497.033783
19.515887,240,1498.677757
23.984563,169,1500.234405
27.059618,202,1501.819275
20.3826,138,1503.35963
21.341544,148,1504.916394
27.731974,196,1507.442257
20.607509,138,1508.956676
28.655475,205,1510.54326
21.954492,156,1512.109984
25.059236,185,1513.706014
21.703196,151,1515.239448
26.099061,190,1516.80904
25.24539,177,1518.39513
26.968662,192,1519.976729
23.997663,169,1521.541363
20.153948,144,1523.094924
23.865889,165,1524.650367
21.16367,145,1527.039357
26.914599,197,1528.643324
22.411873,177,1530.232742
21.790489,150,1531.767114
25.233906,181,1533.352938
19.799622,141,1534.878221
24.77672,181,1536.431093
23.418779,163,1537.967188
20.642363,142,1539.520561
20.980543,144,1541.062817
19.758976,132,1542.587035
26.946367,198,1544.174748
27.408696,197,1546.703076
20.649128,138,1548.225608
20.14929,141,1549.762276
22.884238,159,1551.328734
20.692265,141,1552.886991
25.454625,188,1554.42197
24.202204,177,1555.97559
23.259695,163,1557.552405
25.755903,182,1559.114364
16.911707,274,1560.780323
27.643518,198,1562.359547
22.982722,165,1563.917837
18.836874,122,1566.350209
23.98355,166,1567.884619
27.432542,200,1569.466153
25.145187,178,1571.047597
20.333505,138,1572.591471
20.98218,141,1574.152435
24.984343,180,1575.727684
21.520239,145,1577.248143
22.9929,165,1578.784622
27.070496,198,1580.379039
26.414535,190,1581.956609
25.185577,178,1583.53007
21.142942,145,1585.919834
19.165571,124,1587.410692
26.990705,205,1589.018045
22.921646,158,1590.558044
20.5808,138,1592.107672
23.551772,161,1593.662971
24.725264,175,1595.227433
27.004903,196,1596.833139
25.994057,190,1598.432256
18.776639,120,1599.959612
26.425568,188,1601.524504
24.798714,177,1603.116117
25.010313,180,1604.697645
23.707874,172,1607.162581
26.928952,194,1608.747211
22.446972,157,1610.310915
25.064217,181,1611.902019
19.374683,123,1613.42598
22.601064,155,1614.99866
24.258189,171,1616.581241
21.939067,148,1618.115149
22.601411,156,1619.661783
26.995369,203,1621.266802
22.411629,154,1622.824457
21.322192,144,1624.363716
26.190301,187,1626.878611
18.027693,224,1628.448573
22.085754,149,1629.985986
25.49549,185,1631.570927
18.951506,124,1633.096071
18.020744,114,1634.615641
21.975693,155,1636.174092
26.375146,186,1637.751189
19.030629,122,1639.283505
21.95479,149,1640.83658
27.609356,196,1642.430986
21.09665,141,1643.962146
20.958519,139,1645.492184
22.007161,148,1647.953574
17.934542,113,1649.432804
23.853925,167,1651.000648
20.356543,138,1652.531935
18.150896,115,1654.048814
23.294683,165,1655.617813
24.077741,171,1657.187925
