#{"t_start": 1737020819.9345298, "env_id": "None"}
r,l,t
2.873985,80,631.590028
3.212479,99,632.782963
2.930812,86,633.931011
2.768527,92,635.083305
2.927509,85,636.328833
2.870514,87,637.488339
3.474063,101,638.651158
3.596138,107,639.838381
3.189961,90,640.98552
3.012646,83,642.175962
3.091264,84,643.325763
3.11036,83,644.461515
2.787994,91,645.639557
2.987268,87,646.79333
3.058747,81,647.952561
2.90394,79,649.0975
3.097465,82,650.232242
3.163176,84,651.409032
3.162363,84,652.595926
2.855086,84,653.746551
2.826575,82,654.888658
2.750823,80,656.105617
2.907227,86,657.324713
3.209718,84,658.46102
3.107631,85,659.602543
2.709878,82,660.738344
3.198385,87,661.896573
2.915626,84,663.022297
2.728129,92,664.207687
2.556026,83,665.339442
2.93677,91,666.53433
2.967426,83,667.656072
3.237609,100,668.868923
2.92675,84,669.987493
3.313304,87,671.140112
3.674149,99,672.299701
3.854853,91,673.440251
3.303493,86,674.611208
3.303071,85,675.83632
3.175244,84,676.974427
3.244268,83,678.102983
3.105134,83,679.236132
2.929836,82,680.472113
3.024741,81,681.665327
2.88061,82,682.834202
2.849653,77,683.939483
2.845862,79,685.125852
2.686969,78,686.238896
2.916664,81,687.36659
2.862769,79,688.478378
2.773884,77,689.595141
2.91627,83,690.765764
3.029116,81,691.880718
2.89369,82,693.031895
2.784574,79,694.217793
2.759144,80,695.334681
2.864537,78,696.46888
2.795491,76,697.576537
2.938796,81,698.717548
3.013207,79,699.849233
2.802683,76,700.988617
2.460932,77,702.172557
2.988801,79,703.300647
2.780879,78,704.540603
2.860282,77,705.674947
2.874812,79,706.798993
2.809717,77,707.942036
2.95205,79,709.083206
3.383965,82,710.24311
3.0369,82,711.368055
2.834631,83,712.517915
2.745181,77,713.62013
2.867174,83,714.774047
3.046671,85,715.90426
3.054659,86,717.059981
2.709431,80,718.224426
2.9689,84,719.372431
2.691144,84,720.543857
2.575486,79,721.693741
3.122285,84,722.828488
2.681372,81,724.046242
2.799048,85,725.243717
2.352101,83,726.370284
2.941393,86,727.505364
2.772238,88,728.71643
2.898045,82,729.881406
2.963806,95,731.083096
2.837346,85,732.210187
2.875794,83,733.355695
2.915989,88,734.493655
3.035257,84,735.629492
3.208087,90,736.827238
2.772607,79,737.957927
2.82424,96,739.210018
2.672156,87,740.445606
2.761983,86,741.633578
2.56341,103,742.786149
2.980817,90,743.987583
2.699343,95,745.124194
3.492844,140,746.379514
2.811051,88,747.51623
2.903694,93,748.675543
2.727182,89,749.832397
2.851608,91,751.004642
2.55308,86,752.1612
2.849282,93,753.340955
2.734803,89,754.485823
3.974391,147,755.75692
2.968738,84,756.90825
2.76864,77,758.039783
2.840384,83,759.197232
3.24004,83,760.360193
3.704264,106,761.579506
3.126648,82,762.787427
2.769662,76,763.92448
3.102519,81,765.049232
3.225228,83,766.188035
3.219353,82,767.391495
3.096217,83,768.515899
3.344243,82,769.689745
3.938434,99,770.865644
3.37618,82,771.989102
3.34345,86,773.161719
2.979184,78,774.287513
3.7844,89,775.53056
3.352228,84,776.720391
3.36369,83,777.838542
3.653462,88,778.973194
3.241626,82,780.138638
