#{"t_start": 1737009019.944477, "env_id": "None"}
r,l,t
25.262489,200,2210.516417
25.715153,198,2214.807178
20.980544,149,2218.352423
27.155295,204,2222.711732
26.015597,200,2226.970505
18.942153,244,2231.895556
22.01265,154,2235.519589
26.056862,207,2240.016788
22.42183,164,2243.798929
23.961153,178,2247.712747
24.58634,191,2251.863789
18.04276,156,2255.497749
24.999948,186,2259.511412
25.278466,199,2263.79511
23.278381,176,2267.701179
25.450767,204,2272.003993
22.03817,164,2275.664814
23.957294,178,2279.617666
25.437591,186,2283.617861
26.115368,193,2287.728591
22.353482,162,2291.361028
21.712747,148,2294.799089
22.383053,164,2298.512884
27.35747,206,2302.879773
21.778813,166,2306.752083
16.543476,254,2311.716037
22.953234,165,2315.396209
21.452341,153,2318.930458
22.550127,184,2322.867189
20.011462,140,2326.202312
25.042673,182,2330.10205
22.842937,172,2333.862834
21.017704,149,2337.351576
25.965978,200,2341.497638
21.520858,151,2344.981611
22.271937,164,2348.662582
50.493456,543,2357.776379
19.038971,123,2360.84816
27.314755,206,2365.100997
24.146858,178,2369.000885
19.295107,142,2372.399736
21.943676,171,2376.168475
21.02628,146,2379.585668
19.27941,132,2382.773236
25.449847,187,2386.751746
21.008308,151,2390.235179
22.957851,162,2393.850111
38.751885,529,2402.751358
22.380777,175,2406.585813
27.732955,210,2410.951528
22.135686,154,2414.518686
27.67256,211,2418.849098
25.696905,196,2422.982431
19.256955,129,2426.16472
25.616868,202,2430.419009
66.20205,1083,2447.452099
26.378262,208,2451.735584
16.220138,294,2457.251838
24.175595,180,2461.135155
19.405693,169,2464.862079
23.985186,177,2468.699443
19.691692,138,2471.999749
27.206832,200,2476.15188
11.462774,179,2480.103127
26.438604,204,2484.364018
21.352586,152,2487.88291
17.923463,134,2491.135832
19.766349,140,2494.45277
20.032746,141,2497.780298
18.807138,122,2500.864714
26.848822,201,2505.136002
20.640442,145,2508.582102
27.272073,209,2512.915242
25.127241,186,2516.898332
22.916481,170,2520.617561
29.06507,232,2525.231959
21.021728,151,2528.736608
23.961119,184,2532.699797
27.148122,205,2536.94861
25.084465,186,2541.135434
19.812491,130,2544.352712
26.071218,190,2548.395976
24.198933,181,2552.296048
26.109184,186,2556.270889
23.306537,165,2559.986495
27.007892,214,2564.348752
22.446596,173,2568.300954
21.078073,161,2572.036294
25.08831,178,2575.881518
22.936171,158,2579.466932
22.555872,164,2583.099179
22.85886,167,2586.831446
21.02112,159,2590.431724
27.34948,217,2594.853301
19.980145,135,2598.099501
23.239947,169,2601.836486
27.287673,206,2606.084634
24.190542,170,2609.868569
22.848902,168,2613.632918
21.617676,150,2617.101255
17.452412,235,2621.76911
24.615927,184,2625.734048
18.439911,122,2628.780637
20.950126,143,2632.116099
25.566345,192,2636.296591
24.181625,175,2640.153631
27.322629,210,2644.485029
19.324101,233,2649.117934
25.131359,184,2653.053781
22.348921,160,2656.687463
24.172445,176,2660.504129
27.349428,213,2664.837678
23.105112,160,2668.453707
26.016217,200,2672.665283
19.005922,130,2675.815589
24.806492,209,2680.165372
22.855804,172,2683.931168
23.518005,170,2687.716537
20.568583,143,2691.115221
28.158625,219,2695.637389
26.441306,196,2699.837121
19.245523,130,2703.087369
20.637168,142,2706.467607
21.000341,150,2709.953277
22.8694,165,2713.616726
19.730358,130,2716.802046
26.997459,230,2721.404143
19.811557,136,2724.670774
21.0031,144,2728.068999
20.102902,138,2731.385762
19.94921,138,2734.654361
23.200659,172,2738.418921
25.496988,186,2742.384689
24.948035,187,2746.418698
27.728956,212,2750.767666
23.785281,171,2754.532502
21.345128,148,2757.967319
22.105692,152,2761.467657
21.702289,157,2765.050402
25.971818,190,2769.171247
19.18679,147,2772.651311
26.017738,193,2776.769955
22.035866,161,2780.521517
19.069309,240,2785.304942
25.087201,180,2789.170606
24.784739,183,2793.082539
25.596591,198,2797.238931
22.267163,156,2800.888185
24.06991,174,2804.67063
24.10631,174,2808.471782
21.803139,157,2812.089113
26.195143,193,2816.182002
23.292795,163,2819.817792
22.88029,162,2823.43413
26.025617,212,2827.819509
20.153087,141,2831.154963
20.990805,145,2834.61759
19.189044,151,2838.168589
25.902579,192,2842.252334
22.837897,163,2845.904311
23.08288,164,2849.597357
21.969686,153,2853.132293
21.090042,153,2856.618054
23.421651,182,2860.538461
24.538168,177,2864.388325
24.499153,180,2868.299955
27.431105,208,2872.552441
26.818635,202,2876.83636
27.708989,218,2881.294208
25.017502,191,2885.349152
23.12238,162,2888.971606
27.383963,213,2893.321908
26.030909,198,2897.488512
23.972095,178,2901.398231
20.39273,145,2904.838646
22.082696,151,2908.349266
23.941717,180,2912.238631
22.022877,155,2915.75494
25.117029,188,2919.771466
20.13602,141,2923.17101
21.987204,155,2926.684244
18.771738,124,2929.763927
22.864971,167,2933.471857
19.991743,135,2936.722062
27.9641,239,2941.420447
22.972854,162,2945.089141
19.963828,138,2948.406062
26.45371,197,2952.552552
20.658393,156,2956.085858
23.516499,169,2959.78148
17.40464,243,2964.55564
22.269339,161,2968.239004
18.202195,133,2971.506108
18.998665,150,2974.951498
24.17661,175,2978.760702
21.935231,159,2982.354205
21.629509,155,2985.886918
17.453049,230,2990.517968
25.488464,190,2994.55317
23.349336,177,2998.37188
21.523673,155,3001.906033
22.284714,162,3005.539673
17.935495,167,3009.255875
28.610035,228,3013.872051
23.210201,188,3017.87313
23.789033,174,3021.779211
22.552684,158,3025.350844
26.010849,191,3029.423324
23.409753,176,3033.288774
19.959497,135,3036.617288
27.70685,209,3040.972852
24.189922,187,3044.983773
20.113957,144,3048.400587
21.022635,153,3051.888442
28.151884,215,3056.30632
27.301516,204,3060.568079
19.738142,135,3063.806477
27.339044,206,3068.08372
10.809932,181,3072.006868
21.946727,157,3075.604963
20.148116,145,3079.006422
22.939467,164,3082.653554
19.143641,131,3085.87229
17.196743,225,3090.422031
18.804228,124,3093.516213
22.35087,162,3097.140855
23.726528,178,3101.05656
27.640263,201,3105.322328
23.987426,173,3109.106539
23.164486,177,3113.00361
24.255972,176,3116.837793
25.251464,184,3120.776533
25.441405,187,3124.753191
23.987843,183,3128.721627
25.662144,188,3132.7037
23.064658,164,3136.373536
23.945769,181,3140.240429
18.022558,131,3143.452839
18.397984,119,3146.519782
23.033206,167,3150.219567
19.990009,146,3153.61878
20.661287,146,3157.005865
22.334417,159,3160.60499
21.123838,148,3164.056996
22.909941,159,3167.690647
18.031409,135,3170.97192
26.074412,199,3175.187564
36.602241,482,3183.419869
22.134647,153,3186.990834
23.831956,173,3190.78662
24.749615,180,3194.7054
25.246228,180,3198.600332
26.103976,200,3202.800357
24.269979,176,3206.668007
24.590039,182,3210.606278
23.858552,175,3214.440374
20.383573,143,3217.787571
27.220922,216,3222.189606
23.530447,172,3225.974499
22.902835,161,3229.572475
29.06072,225,3234.109599
22.549363,159,3237.82296
26.010244,229,3242.419295
21.9682,158,3245.986037
24.606871,183,3249.907938
23.156158,171,3253.674703
20.150335,144,3257.074304
21.039149,147,3260.639716
28.275653,241,3265.469334
21.787204,159,3269.074534
25.057037,189,3273.088034
27.394803,218,3277.541137
18.210266,125,3280.674485
26.611131,193,3284.760667
25.959616,198,3288.907312
20.338517,142,3292.262608
26.938517,217,3296.687033
21.181378,147,3300.107288
21.688874,153,3303.706081
25.431957,184,3307.656105
24.556327,178,3311.538389
24.239869,171,3315.304329
28.21221,219,3319.770301
22.545171,162,3323.391717
25.450557,185,3327.373704
20.042839,147,3330.789563
17.452777,237,3335.502951
19.258672,127,3338.640568
21.322382,149,3342.101313
21.990047,152,3345.624119
26.489715,201,3349.853392
26.84988,199,3354.037733
20.356933,138,3357.339828
25.47427,182,3361.24172
18.794833,123,3364.323966
20.102856,135,3367.603245
27.673973,210,3371.99206
26.025166,205,3376.255606
28.195536,223,3380.760576
19.373775,131,3383.920303
24.223957,174,3387.780001
20.985566,148,3391.220164
17.383381,221,3395.692292
20.110242,140,3399.022335
32.718478,653,3409.727051
20.961771,146,3413.154894
23.357316,173,3416.942124
24.957081,182,3420.854776
24.738164,182,3424.781817
25.99276,210,3429.125537
25.918541,196,3433.281152
21.312278,148,3436.7698
22.958715,166,3440.491504
21.612163,148,3443.925632
21.775276,152,3447.458037
21.697041,153,3450.941802
27.031154,203,3455.181007
22.068511,153,3458.673796
24.996574,186,3462.62184
24.204402,180,3466.540719
26.698809,231,3471.291062
25.489342,189,3475.342527
22.400362,164,3479.073235
26.042934,196,3483.209279
22.843207,167,3486.89091
22.293679,154,3490.392733
19.0044,130,3493.571325
27.301336,201,3497.758987
22.000059,159,3501.537369
22.125042,151,3505.042716
20.121237,149,3508.471129
25.388096,181,3512.359762
22.991663,166,3516.040049
20.634446,144,3519.426498
25.566079,198,3523.489992
22.083112,340,3529.66938
27.063187,207,3533.938877
23.211445,167,3537.641091
26.459959,196,3541.742994
18.982949,136,3545.025558
26.07969,197,3549.189331
21.961515,156,3552.743192
24.64148,181,3556.656989
19.960161,146,3560.104995
21.020713,149,3563.55684
25.060853,183,3567.541404
20.697537,141,3570.943368
23.261024,170,3574.693307
18.002254,146,3578.076662
25.511357,190,3582.090383
